word,phonetic,pos,meaning,example,exampleCn,category,level,list
mexico,'meksikәu,n.,n. 墨西哥,"Students often meet the word ""mexico"" in reading and daily communication.",这个例句展示了“mexico”在四级阅读和写作中的常见用法。,daily|cet4,,
submission,sәb'miʃәn,n.,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见\n[经] 提交, 提出, 提交公断",What was the date of submission of your proposal?,这个例句展示了“submission”在四级阅读和写作中的常见用法。,daily|cet4,,
voting,'vәutiŋ,n.,"n. 投票, 选举\na. 投票的, 选举的","Students often meet the word ""voting"" in reading and daily communication.",这个例句展示了“voting”在四级阅读和写作中的常见用法。,daily|cet4,,
jewelry,'dʒu:әlri,n.,"n. 珠宝, 珠宝类","Students often meet the word ""jewelry"" in reading and daily communication.",这个例句展示了“jewelry”在四级阅读和写作中的常见用法。,daily|cet4,,
cuban,'kju:bәn,n.,"a. 古巴的, 古巴人的\nn. 古巴人",Cuban rum.,这个例句展示了“cuban”在四级阅读和写作中的常见用法。,daily|cet4,,
surrey,'sʌri,n.,n. 四轮双座轻便游览马车,"Students often meet the word ""surrey"" in reading and daily communication.",这个例句展示了“surrey”在四级阅读和写作中的常见用法。,daily|cet4,,
sterling,'stә:liŋ,n.,"n. 英国货币, 标准纯银\na. 英国货币的, 标准纯银的, 含标准成分的","Students often meet the word ""sterling"" in reading and daily communication.",这个例句展示了“sterling”在四级阅读和写作中的常见用法。,daily|cet4,,
broadly,'brɒ:dli,adv.,"adv. 宽广地, 明白地, 无礼貌地",He interprets the law broadly.,这个例句展示了“broadly”在四级阅读和写作中的常见用法。,daily|cet4,,
donald,'dɔnәld,n.,n. 唐纳德（男子名）,"Students often meet the word ""donald"" in reading and daily communication.",这个例句展示了“donald”在四级阅读和写作中的常见用法。,daily|cet4,,
trophy,'trәufi,v.,"n. 战利品, 奖品\nvt. 用战利品装饰","Students often meet the word ""trophy"" in reading and daily communication.",这个例句展示了“trophy”在四级阅读和写作中的常见用法。,daily|cet4,,
hollywood,'hɔliwud,n.,"n. 好莱坞, 美国电影界, 美国电影工业, 美国式电影",Some people in publishing think of theirs as a glamorous medium so they copy the glitter of Hollywood.,这个例句展示了“hollywood”在四级阅读和写作中的常见用法。,daily|cet4,,
coordinator,kәu'ɒ:dineitә,n.,"n. 协调者, 同等的人或物\n[化] 协调器","Students often meet the word ""coordinator"" in reading and daily communication.",这个例句展示了“coordinator”在四级阅读和写作中的常见用法。,daily|cet4,,
jonathan,'dʒɔnәθәn,n.,n. 乔纳森（男子名）,"Students often meet the word ""jonathan"" in reading and daily communication.",这个例句展示了“jonathan”在四级阅读和写作中的常见用法。,daily|cet4,,
scot,skɒt,n.,"n. 摊派的款项, 税赋\n[化] 涂载体空心柱","Students often meet the word ""scot"" in reading and daily communication.",这个例句展示了“scot”在四级阅读和写作中的常见用法。,daily|cet4,,
kenneth,,n.,n. 肯尼思（男子名）；[古]英俊的领导者,"Students often meet the word ""kenneth"" in reading and daily communication.",这个例句展示了“kenneth”在四级阅读和写作中的常见用法。,daily|cet4,,
broadcasting,'brɒ:dkæstiŋ,n.,n. 广播\n[电] 广播,"Students often meet the word ""broadcasting"" in reading and daily communication.",这个例句展示了“broadcasting”在四级阅读和写作中的常见用法。,daily|cet4,,
charlotte,'ʃɑ:lәt,n.,n. 水果奶油布丁,"Students often meet the word ""charlotte"" in reading and daily communication.",这个例句展示了“charlotte”在四级阅读和写作中的常见用法。,daily|cet4,,
dolphin,'dɒlfin,n.,n. 海豚,"Students often meet the word ""dolphin"" in reading and daily communication.",这个例句展示了“dolphin”在四级阅读和写作中的常见用法。,daily|cet4,,
advisory,әd'vaizәri,n.,"a. 顾问的, 咨询的, 劝告的\n[法] 劝告的, 忠告的, 咨询的",A frost advisory.,这个例句展示了“advisory”在四级阅读和写作中的常见用法。,daily|cet4,,
marshall,'mɑ:ʃәl,n.,"n. 马歇尔（姓氏, 男子名, 等于Mar'shal）","Students often meet the word ""marshall"" in reading and daily communication.",这个例句展示了“marshall”在四级阅读和写作中的常见用法。,daily|cet4,,
teammate,'ti:mmeit,n.,n. 队友,"Students often meet the word ""teammate"" in reading and daily communication.",这个例句展示了“teammate”在四级阅读和写作中的常见用法。,daily|cet4,,
johnny,'dʒɒni,n.,"n. 男人, 家伙","Students often meet the word ""johnny"" in reading and daily communication.",这个例句展示了“johnny”在四级阅读和写作中的常见用法。,daily|cet4,,
campbell,'kæmbl,n.,n. 坎贝尔（姓氏）,"Students often meet the word ""campbell"" in reading and daily communication.",这个例句展示了“campbell”在四级阅读和写作中的常见用法。,daily|cet4,,
karen,'kɑ:rәn,n.,n. 凯伦（人名）；克伦邦（缅甸邦名）,"Students often meet the word ""karen"" in reading and daily communication.",这个例句展示了“karen”在四级阅读和写作中的常见用法。,daily|cet4,,
oxfordshire,'ɒksfәdʃiә,n.,n. 牛津郡,"Students often meet the word ""oxfordshire"" in reading and daily communication.",这个例句展示了“oxfordshire”在四级阅读和写作中的常见用法。,daily|cet4,,
bloke,blәuk,n.,"n. 小子, 家伙",He's a good bloke.,这个例句展示了“bloke”在四级阅读和写作中的常见用法。,daily|cet4,,
freud,frɔid,n.,"n. 佛洛伊德（856-1939, 奥地利心理分析学家及精神病学家）","Students often meet the word ""freud"" in reading and daily communication.",这个例句展示了“freud”在四级阅读和写作中的常见用法。,daily|cet4,,
tumour,'tju:mә,n.,"n. 瘤, 肿块","Students often meet the word ""tumour"" in reading and daily communication.",这个例句展示了“tumour”在四级阅读和写作中的常见用法。,daily|cet4,,
debut,'deibju:,v.,"n. 初次登台, 开张\nv. 初次登台",They looked forward to the debut of their new product line.,这个例句展示了“debut”在四级阅读和写作中的常见用法。,daily|cet4,,
kuwait,kә'wait,n.,n. 科威特,"Students often meet the word ""kuwait"" in reading and daily communication.",这个例句展示了“kuwait”在四级阅读和写作中的常见用法。,daily|cet4,,
hiv,,n.,abbr. 艾滋病病毒（human immunodeficiency virus）,"Students often meet the word ""hiv"" in reading and daily communication.",这个例句展示了“hiv”在四级阅读和写作中的常见用法。,daily|cet4,,
corbett,,n.,科比特（人名）\n科比特（地名）,"Students often meet the word ""corbett"" in reading and daily communication.",这个例句展示了“corbett”在四级阅读和写作中的常见用法。,daily|cet4,,
antibody,'æntibɒdi,n.,n. 抗体\n[化] 抗体,"Students often meet the word ""antibody"" in reading and daily communication.",这个例句展示了“antibody”在四级阅读和写作中的常见用法。,daily|cet4,,
workstation,'wә:k.steiʃәn,n.,n. 工作站\n[计] 工作站,"Students often meet the word ""workstation"" in reading and daily communication.",这个例句展示了“workstation”在四级阅读和写作中的常见用法。,daily|cet4,,
encouragement,in'kʌridʒmәnt,n.,"n. 鼓励, 激励, 奖励\n[法] 怂恿, 煽动, 助长","Students often meet the word ""encouragement"" in reading and daily communication.",这个例句展示了“encouragement”在四级阅读和写作中的常见用法。,daily|cet4,,
depressed,di'prest,v.,"a. 沮丧的, 降低的\n[医] 抑郁的, 阻抑的, 压低的, 凹[陷]的, 扁平的",These news depressed her.,这个例句展示了“depressed”在四级阅读和写作中的常见用法。,daily|cet4,,
creativity,.kri:ei'tiviti,n.,"n. 创造力, 创造性","Students often meet the word ""creativity"" in reading and daily communication.",这个例句展示了“creativity”在四级阅读和写作中的常见用法。,daily|cet4,,
incredibly,in'kredәbli,adv.,adv. 不能相信地,Behind you the coastal hills plunge to the incredibly blue sea backed by the Turkish mountains.,这个例句展示了“incredibly”在四级阅读和写作中的常见用法。,daily|cet4,,
shocked,ʃɔkt,v.,a. 震撼的；震惊的,The scandalous behavior of this married woman shocked her friends.,这个例句展示了“shocked”在四级阅读和写作中的常见用法。,daily|cet4,,
sexy,'seksi,adj.,"a. 有性感的, 色情的",Feeling sexy.,这个例句展示了“sexy”在四级阅读和写作中的常见用法。,daily|cet4,,
syndrome,'sindrәum,n.,"n. 并发症状, 综合征, 同时存在的事物\n[计] 校验子; 并发位",Every word has a syndrome of meanings.,这个例句展示了“syndrome”在四级阅读和写作中的常见用法。,daily|cet4,,
workplace,,n.,"n. 工作场所, 工厂, 车间","Students often meet the word ""workplace"" in reading and daily communication.",这个例句展示了“workplace”在四级阅读和写作中的常见用法。,daily|cet4,,
touchdown,'tʌtʃdaun,n.,"n. 触地, 触地得分, 着地","Students often meet the word ""touchdown"" in reading and daily communication.",这个例句展示了“touchdown”在四级阅读和写作中的常见用法。,daily|cet4,,
rightly,'raitli,adv.,"adv. 合适地, 正当地, 正确地",He was rightly considered the greatest singer of his time.,这个例句展示了“rightly”在四级阅读和写作中的常见用法。,daily|cet4,,
zero,'ziәrәu,v.,"n. 零, 零点, 零度, 无, 乌有, 最低点\na. 零的, 没有的\nvt. 调零, 对(炮火等)作协调校正\n[计] 零",A zero score.,这个例句展示了“zero”在四级阅读和写作中的常见用法。,daily|cet4,,
remarkably,ri'mɑ:kәbli,adv.,"adv. 显著地, 引人注目地, 非常地","Students often meet the word ""remarkably"" in reading and daily communication.",这个例句展示了“remarkably”在四级阅读和写作中的常见用法。,daily|cet4,,
rolling,'rәuliŋ,n.,"a. 旋转的, 波动的, 起伏的\nn. 旋转, 轰响, 动摇",He was charged with rolling drunks in the park.,这个例句展示了“rolling”在四级阅读和写作中的常见用法。,daily|cet4,,
added,'ædid,v.,a. 额外的；更多的,We added two students to that dorm room.,这个例句展示了“added”在四级阅读和写作中的常见用法。,daily|cet4,,
actively,'æktivli,adv.,"adv. 活跃地, 积极地",He participated actively in the war.,这个例句展示了“actively”在四级阅读和写作中的常见用法。,daily|cet4,,
handling,'hændliŋ,n.,n. 处理\na. 操作的,The handling of prisoners.,这个例句展示了“handling”在四级阅读和写作中的常见用法。,daily|cet4,,
evidently,'evidәntli,adv.,"adv. 明显地, 根据现有证据来看",She was in bed and evidently in great pain.,这个例句展示了“evidently”在四级阅读和写作中的常见用法。,daily|cet4,,
blank,blæŋk,v.,"n. 空格, 空白\na. 空白的, 空虚的, 完全的, 无色的\nvi. 消失, 成为空白\nvt. 使无效, 取消, 封锁\n[计] 空白",Blank pages.,这个例句展示了“blank”在四级阅读和写作中的常见用法。,daily|cet4,,
cocaine,kә'kein,n.,"n. 可卡因, 古柯碱\n[化] 可卡因; 古柯碱","Students often meet the word ""cocaine"" in reading and daily communication.",这个例句展示了“cocaine”在四级阅读和写作中的常见用法。,daily|cet4,,
socially,'sәuʃәli,adv.,"adv. 在社会上, 在社交上, 以社会生活方式",Socially accepted norms.,这个例句展示了“socially”在四级阅读和写作中的常见用法。,daily|cet4,,
instructional,in'strʌkʃәnәl,adj.,"a. 教学的, 教育的",Instructional aids.,这个例句展示了“instructional”在四级阅读和写作中的常见用法。,daily|cet4,,
qualified,'kwɒlifaid,v.,"a. 有资格的\n[经] 合格的, 有条件的, 有限制的",She was qualified to run the marathon.,这个例句展示了“qualified”在四级阅读和写作中的常见用法。,daily|cet4,,
switzerland,'switsәlәnd,n.,n. 瑞士,"Students often meet the word ""switzerland"" in reading and daily communication.",这个例句展示了“switzerland”在四级阅读和写作中的常见用法。,daily|cet4,,
alley,'æli,n.,"n. 小路, 巷","Students often meet the word ""alley"" in reading and daily communication.",这个例句展示了“alley”在四级阅读和写作中的常见用法。,daily|cet4,,
enquire,in'kwaiә,v.,v. 询问,"Students often meet the word ""enquire"" in reading and daily communication.",这个例句展示了“enquire”在四级阅读和写作中的常见用法。,daily|cet4,,
cute,kju:t,adj.,"a. 可爱的, 聪明的, 伶俐的\n[医] 品他病",A cute kid with pigtails.,这个例句展示了“cute”在四级阅读和写作中的常见用法。,daily|cet4,,
mid,mid,prep.,"a. 中间的, 中央的, 中部的\nprep. 在...之中",In mid-1958.,这个例句展示了“mid”在四级阅读和写作中的常见用法。,daily|cet4,,
passing,'pæsiŋ,n.,"n. 通过, 逝去, 死, 流逝\na. 经过的, 流逝的, 目前的, 短暂的, 及格的, 仓促的",The coach sent in a passing play on third and long.,这个例句展示了“passing”在四级阅读和写作中的常见用法。,daily|cet4,,
legislature,'ledʒisleitʃә,n.,"n. 立法机关, 议会, 立法院\n[法] 立法机构, 立法机关","Students often meet the word ""legislature"" in reading and daily communication.",这个例句展示了“legislature”在四级阅读和写作中的常见用法。,daily|cet4,,
daniel,'dænjәl,n.,n. 丹尼尔（男子名）,A Daniel come to judgment.,这个例句展示了“daniel”在四级阅读和写作中的常见用法。,daily|cet4,,
gop,,n.,abbr. 大老党（美国共和党的别称）（Grand Old Party）；地面观测站（Ground Observation Post）,"Students often meet the word ""gop"" in reading and daily communication.",这个例句展示了“gop”在四级阅读和写作中的常见用法。,daily|cet4,,
norwich,,n.,n. 诺威奇（英国城市）,"Students often meet the word ""norwich"" in reading and daily communication.",这个例句展示了“norwich”在四级阅读和写作中的常见用法。,daily|cet4,,
dried,draid,v.,a. 弄干了的,The ink has dried.,这个例句展示了“dried”在四级阅读和写作中的常见用法。,daily|cet4,,
norway,'nɒ:wei,n.,n. 挪威,"Students often meet the word ""norway"" in reading and daily communication.",这个例句展示了“norway”在四级阅读和写作中的常见用法。,daily|cet4,,
mining,'mainiŋ,n.,"n. 采矿\n[经] 采矿, 采矿业","Students often meet the word ""mining"" in reading and daily communication.",这个例句展示了“mining”在四级阅读和写作中的常见用法。,daily|cet4,,
brussels,'brʌsәlz,n.,n. 布鲁塞尔,"Students often meet the word ""brussels"" in reading and daily communication.",这个例句展示了“brussels”在四级阅读和写作中的常见用法。,daily|cet4,,
backyard,'bæk'jɑ:d,n.,"n. 后院, 后庭","Students often meet the word ""backyard"" in reading and daily communication.",这个例句展示了“backyard”在四级阅读和写作中的常见用法。,daily|cet4,,
chelsea,'tʃelsi,n.,"n. 切尔西（伦敦自治城市, 为文艺界人士聚居地）","Students often meet the word ""chelsea"" in reading and daily communication.",这个例句展示了“chelsea”在四级阅读和写作中的常见用法。,daily|cet4,,
grandchild,'^rændtʃaild,n.,"n. 孙, 外孙女, 外孙, 孙女, 孙子","Students often meet the word ""grandchild"" in reading and daily communication.",这个例句展示了“grandchild”在四级阅读和写作中的常见用法。,daily|cet4,,
developed,di'velәpid,v.,a. 发达的（国家或地区）；成熟的,Her company developed a new kind of building material that withstands all kinds of weather.,这个例句展示了“developed”在四级阅读和写作中的常见用法。,daily|cet4,,
custody,'kʌstәdi,n.,"n. 监护, 拘留, 监禁\n[经] 保管, 照顾, 保护",He is in the custody of police.,这个例句展示了“custody”在四级阅读和写作中的常见用法。,daily|cet4,,
dough,dәu,n.,n. 生面团\n[化] 捏塑体; 生面团,"Students often meet the word ""dough"" in reading and daily communication.",这个例句展示了“dough”在四级阅读和写作中的常见用法。,daily|cet4,,
ecological,.i:kә'lɒdʒikәl,adj.,"a. 生态学的, 主张生态保护的\n[法] 生态的, 生态学的",An ecological disaster.,这个例句展示了“ecological”在四级阅读和写作中的常见用法。,daily|cet4,,
reportedly,ri'pɒ:tidli,adv.,"adv. 根据传说, 根据传闻, 据报道",She was reportedly his mistress for many years.,这个例句展示了“reportedly”在四级阅读和写作中的常见用法。,daily|cet4,,
brighton,'braitn,n.,n. 布赖顿（英国南部城市）,"Students often meet the word ""brighton"" in reading and daily communication.",这个例句展示了“brighton”在四级阅读和写作中的常见用法。,daily|cet4,,
milton,'miltәn,n.,"n. 米尔顿（男子名, 英国诗人）","Students often meet the word ""milton"" in reading and daily communication.",这个例句展示了“milton”在四级阅读和写作中的常见用法。,daily|cet4,,
manor,'mænә,n.,"n. 庄园\n[法] 采邑, 庄园, 采地","Students often meet the word ""manor"" in reading and daily communication.",这个例句展示了“manor”在四级阅读和写作中的常见用法。,daily|cet4,,
workout,'wә:kaut,n.,"n. 试验, 试用, 锻炼","Students often meet the word ""workout"" in reading and daily communication.",这个例句展示了“workout”在四级阅读和写作中的常见用法。,daily|cet4,,
hamilton,'hæmiltәn,n.,n. 汉密尔顿（男子名）；哈密尔顿（美国城市名）,"Students often meet the word ""hamilton"" in reading and daily communication.",这个例句展示了“hamilton”在四级阅读和写作中的常见用法。,daily|cet4,,
anderson,'ændәsn,n.,n. 安德森市（美国印第安纳州）；安德森（男子名）,"Students often meet the word ""anderson"" in reading and daily communication.",这个例句展示了“anderson”在四级阅读和写作中的常见用法。,daily|cet4,,
pencil,'pensl,v.,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束\nvt. 用铅笔写或涂, 草拟",The words were scribbled in pencil.,这个例句展示了“pencil”在四级阅读和写作中的常见用法。,daily|cet4,,
dennis,'denis,n.,n. 丹尼斯（男子名）,"Students often meet the word ""dennis"" in reading and daily communication.",这个例句展示了“dennis”在四级阅读和写作中的常见用法。,daily|cet4,,
hungary,'hʌŋgәri,n.,n. 匈牙利,"Students often meet the word ""hungary"" in reading and daily communication.",这个例句展示了“hungary”在四级阅读和写作中的常见用法。,daily|cet4,,
duncan,'dʌŋkәn,n.,n. 邓肯（姓氏）,"Students often meet the word ""duncan"" in reading and daily communication.",这个例句展示了“duncan”在四级阅读和写作中的常见用法。,daily|cet4,,
newton,'nju:tn,n.,n. 牛顿\n[化] 牛顿,"Students often meet the word ""newton"" in reading and daily communication.",这个例句展示了“newton”在四级阅读和写作中的常见用法。,daily|cet4,,
jordan,'dʒɒ:dәn,n.,"n. 约旦, 约旦河, 尿壶","Students often meet the word ""jordan"" in reading and daily communication.",这个例句展示了“jordan”在四级阅读和写作中的常见用法。,daily|cet4,,
caller,'kɒ:lә,n.,"n. 访客, 召集员, 传唤员\na. 新鲜的\n[计] 呼叫方标识",You need a fiddler and a caller for country dancing.,这个例句展示了“caller”在四级阅读和写作中的常见用法。,daily|cet4,,
sally,'sæli,v.,"n. 突击, 出击, 远足\nvi. 突击, 出击, 出发",A sally into the wide world beyond his home.,这个例句展示了“sally”在四级阅读和写作中的常见用法。,daily|cet4,,
roberts,'rɔbәts,n.,n. 罗伯茨（姓氏）,"Students often meet the word ""roberts"" in reading and daily communication.",这个例句展示了“roberts”在四级阅读和写作中的常见用法。,daily|cet4,,
eighth,eitθ,n.,"num. 第八, 八分之一","Students often meet the word ""eighth"" in reading and daily communication.",这个例句展示了“eighth”在四级阅读和写作中的常见用法。,daily|cet4,,
tourism,'tuәrizm,n.,"n. 观光业, 游览\n[经] 旅游业",Tourism is a major business in Bermuda.,这个例句展示了“tourism”在四级阅读和写作中的常见用法。,daily|cet4,,
emma,'emә,n.,n. 艾玛（女子名）,"Students often meet the word ""emma"" in reading and daily communication.",这个例句展示了“emma”在四级阅读和写作中的常见用法。,daily|cet4,,
takeover,,n.,"n. 接管, 接收\n[经] 接收","Students often meet the word ""takeover"" in reading and daily communication.",这个例句展示了“takeover”在四级阅读和写作中的常见用法。,daily|cet4,,
louise,lu(:)'i:z,n.,n. 路易丝（女子名）,"Students often meet the word ""louise"" in reading and daily communication.",这个例句展示了“louise”在四级阅读和写作中的常见用法。,daily|cet4,,
julia,'dʒu:ljә,n.,n. 朱莉娅（女子名）,"Students often meet the word ""julia"" in reading and daily communication.",这个例句展示了“julia”在四级阅读和写作中的常见用法。,daily|cet4,,
mick,mik,n.,n. 爱尔兰人,"Students often meet the word ""mick"" in reading and daily communication.",这个例句展示了“mick”在四级阅读和写作中的常见用法。,daily|cet4,,
squadron,'skwɒdrәn,n.,"n. 骑兵营, 分遣队, 小舰队","Students often meet the word ""squadron"" in reading and daily communication.",这个例句展示了“squadron”在四级阅读和写作中的常见用法。,daily|cet4,,
loch,lɒk,n.,"n. 湖, 海湾","Students often meet the word ""loch"" in reading and daily communication.",这个例句展示了“loch”在四级阅读和写作中的常见用法。,daily|cet4,,
nato,'neitәj,n.,"北大西洋公约组织, 北约组织\n[经] 北大西洋公约组织","Students often meet the word ""nato"" in reading and daily communication.",这个例句展示了“nato”在四级阅读和写作中的常见用法。,daily|cet4,,
quid,kwid,n.,"n. 一镑金币, 一镑, 咀嚼物","Students often meet the word ""quid"" in reading and daily communication.",这个例句展示了“quid”在四级阅读和写作中的常见用法。,daily|cet4,,
ulcer,'ʌlsә,n.,"n. 溃疡, 腐烂物\n[医] 溃疡","Students often meet the word ""ulcer"" in reading and daily communication.",这个例句展示了“ulcer”在四级阅读和写作中的常见用法。,daily|cet4,,
referendum,.refә'rendәm,n.,n. （就重大政治或社会问题进行的）全民公决，全民投票,"Students often meet the word ""referendum"" in reading and daily communication.",这个例句展示了“referendum”在四级阅读和写作中的常见用法。,daily|cet4,,
outsider,' aut'saidә,n.,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手\n[经] 外船公司","Students often meet the word ""outsider"" in reading and daily communication.",这个例句展示了“outsider”在四级阅读和写作中的常见用法。,daily|cet4,,
desktop,'desktɔp,n.,n. 桌面\n[计] 桌面,"Students often meet the word ""desktop"" in reading and daily communication.",这个例句展示了“desktop”在四级阅读和写作中的常见用法。,daily|cet4,,
someday,'sʌmdei,adv.,adv. 有一天,Someday you will understand my actions.,这个例句展示了“someday”在四级阅读和写作中的常见用法。,daily|cet4,,
kinnock,,n.,n. (Kinnock)人名；(英)金诺克,"Students often meet the word ""kinnock"" in reading and daily communication.",这个例句展示了“kinnock”在四级阅读和写作中的常见用法。,daily|cet4,,
gen,dʒen,n.,"n. 消息, 真相, 情报\n[医] 基因, 遗传因子",Give me the gen on your new line of computers.,这个例句展示了“gen”在四级阅读和写作中的常见用法。,daily|cet4,,
genuinely,,adv.,adv. 真诚地；诚实地,A genuinely open society.,这个例句展示了“genuinely”在四级阅读和写作中的常见用法。,daily|cet4,,
relaxed,ri'lækst,v.,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的",He relaxed in the hot tub.,这个例句展示了“relaxed”在四级阅读和写作中的常见用法。,daily|cet4,,
colorful,'kʌlәful,adj.,"a. 华美的, 富有色彩的, 有趣的",Colorful autumn leaves.,这个例句展示了“colorful”在四级阅读和写作中的常见用法。,daily|cet4,,
eyebrow,'aibrau,n.,n. 眉毛\n[医] 眉,"Students often meet the word ""eyebrow"" in reading and daily communication.",这个例句展示了“eyebrow”在四级阅读和写作中的常见用法。,daily|cet4,,
organizational,.ɒ:gәnai'zeiʃәnәl,adj.,"a. 组织的\n[法] 组织的, 编制的, 机构的",Organizational structure.,这个例句展示了“organizational”在四级阅读和写作中的常见用法。,daily|cet4,,
emerging,,v.,"出现的, 发生的, 形成的","Students often meet the word ""emerging"" in reading and daily communication.",这个例句展示了“emerging”在四级阅读和写作中的常见用法。,daily|cet4,,
making,'meikiŋ,n.,"n. 制造, (手工)制造业, 制作, 形成, 发展, 要素, 内在因素, 赚头, 制造物",The making of measurements.,这个例句展示了“making”在四级阅读和写作中的常见用法。,daily|cet4,,
embarrassment,im'bærәsmәnt,n.,"n. 困难, 阻碍, 困窘\n[医] 窘迫",The outcome of the vote was an embarrassment for the liberals.,这个例句展示了“embarrassment”在四级阅读和写作中的常见用法。,daily|cet4,,
accurately,'ækjurәtli,adv.,"adv. 正确地, 精确地",He works very accurately.,这个例句展示了“accurately”在四级阅读和写作中的常见用法。,daily|cet4,,
marketplace,'mɑ:kit'pleis,n.,n. 市场,They were driven from the marketplace.,这个例句展示了“marketplace”在四级阅读和写作中的常见用法。,daily|cet4,,
openly,'әjpәnli,adv.,"adv. 公开地, 坦率地, 直率地, 公然地",He openly flaunted his affection for his sister.,这个例句展示了“openly”在四级阅读和写作中的常见用法。,daily|cet4,,
risky,'riski,adj.,a. 危险的,Extremely risky going out in the tide and fog.,这个例句展示了“risky”在四级阅读和写作中的常见用法。,daily|cet4,,
planner,'plænә,n.,"n. 计划者, 设计者, 安排者\n[机] 刨床机","Students often meet the word ""planner"" in reading and daily communication.",这个例句展示了“planner”在四级阅读和写作中的常见用法。,daily|cet4,,
closest,,adj.,a. 最靠近的（close的最高级）,"Students often meet the word ""closest"" in reading and daily communication.",这个例句展示了“closest”在四级阅读和写作中的常见用法。,daily|cet4,,
breathing,'bri:ðiŋ,n.,"n. 呼吸, 瞬间, 微风\na. 呼吸的, 逼真的",The boy was disappointed to find only skeletons instead of living breathing dinosaurs.,这个例句展示了“breathing”在四级阅读和写作中的常见用法。,daily|cet4,,
migration,mai'greiʃәn,n.,"n. 移民, 移往, 移动\n[计] 迁移","Students often meet the word ""migration"" in reading and daily communication.",这个例句展示了“migration”在四级阅读和写作中的常见用法。,daily|cet4,,
belgium,'beldʒәm,n.,n. 比利时,"Students often meet the word ""belgium"" in reading and daily communication.",这个例句展示了“belgium”在四级阅读和写作中的常见用法。,daily|cet4,,
retailer,'ri:teilә,n.,"n. 零售商人, 传播的人\n[经] 零售商","Students often meet the word ""retailer"" in reading and daily communication.",这个例句展示了“retailer”在四级阅读和写作中的常见用法。,daily|cet4,,
honestly,'ɒnistli,adv.,"adv. 真诚地, 公正地","Honestly, I don't believe it.",这个例句展示了“honestly”在四级阅读和写作中的常见用法。,daily|cet4,,
dealing,'di:liŋ,n.,"n. 经营行为, 行为, 交易\n[法] 待遇, 处置, 行为",Honest dealing.,这个例句展示了“dealing”在四级阅读和写作中的常见用法。,daily|cet4,,
supportive,sә'pɔ:tiv,adj.,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏",A supportive family network.,这个例句展示了“supportive”在四级阅读和写作中的常见用法。,daily|cet4,,
persian,'pә:ʃәn,n.,"n. 波斯人, 波斯语",The majority of Irani are Persian Shiite Muslims.,这个例句展示了“persian”在四级阅读和写作中的常见用法。,daily|cet4,,
perceived,pə'siːvd,v.,v. 感觉( perceive的过去式和过去分词 ); 视为; 认为; 理解为,She finally perceived the futility of her protest.,这个例句展示了“perceived”在四级阅读和写作中的常见用法。,daily|cet4,,
compliance,kәm'plaiәns,n.,"n. 遵从, 顺从, 屈从\n[化] 柔顺; 顺应","Students often meet the word ""compliance"" in reading and daily communication.",这个例句展示了“compliance”在四级阅读和写作中的常见用法。,daily|cet4,,
specialty,'speʃәlti,n.,"n. 专业, 专长, 特产, 特制品, 特性, 特点\na. 专门的, 独立的","Students often meet the word ""specialty"" in reading and daily communication.",这个例句展示了“specialty”在四级阅读和写作中的常见用法。,daily|cet4,,
monkey,'mʌŋki,v.,"n. 猴子, 猿, 打桩锤\nvi. 淘气, 胡闹\nvt. 嘲弄","Students often meet the word ""monkey"" in reading and daily communication.",这个例句展示了“monkey”在四级阅读和写作中的常见用法。,daily|cet4,,
oscar,'ɔskә,n.,"n. 奥斯卡金像奖, 钱, 现金","Students often meet the word ""oscar"" in reading and daily communication.",这个例句展示了“oscar”在四级阅读和写作中的常见用法。,daily|cet4,,
listener,'lisnә,n.,"n. 收听者, 听众","Students often meet the word ""listener"" in reading and daily communication.",这个例句展示了“listener”在四级阅读和写作中的常见用法。,daily|cet4,,
stanley,'stænli,n.,n. 斯坦利（男子名）,"Students often meet the word ""stanley"" in reading and daily communication.",这个例句展示了“stanley”在四级阅读和写作中的常见用法。,daily|cet4,,
kennedy,'kenidi,n.,"n. 肯尼迪（姓氏, 美国第35任总统）","Students often meet the word ""kennedy"" in reading and daily communication.",这个例句展示了“kennedy”在四级阅读和写作中的常见用法。,daily|cet4,,
legally,'li:gәli,adv.,"adv. 法律上, 合法地\n[法] 法律上, 合法地, 法定地",He acted legally.,这个例句展示了“legally”在四级阅读和写作中的常见用法。,daily|cet4,,
independently,.indi'pendәntli,adv.,"adv. 独立地, 自立地",The children worked on the project independently.,这个例句展示了“independently”在四级阅读和写作中的常见用法。,daily|cet4,,
bored,,v.,a. 无聊的；烦人的；无趣的,Bored with life.,这个例句展示了“bored”在四级阅读和写作中的常见用法。,daily|cet4,,
norfolk,'nɒ:fәk,n.,n. 诺福克(英格兰郡名),"Students often meet the word ""norfolk"" in reading and daily communication.",这个例句展示了“norfolk”在四级阅读和写作中的常见用法。,daily|cet4,,
